izlenme,begeni,ulke
748374,57527,1
2418783,97185,1
3191434,146033,1
343168,10172,1
2095731,132235,1
119180,9763,1
2103417,15993,1
817732,23663,1
826059,3543,1
256426,12654,1
81377,655,1
104578,1576,1
687582,114188,1
544770,7848,1
207532,7473,1
75752,9419,1
295639,8011,1
78044,5398,1
97007,11963,1
223871,8421,1
115791,9586,1
224019,3585,1
144418,11758,1
145921,1707,1
33980,4884,1
223077,8676,1
80705,4687,1
120727,9033,1
27943,156,1
50867,715,1
98378,4035,1
26000,119,1
17158531,787419,1
67661,3781,1
141148,1661,1
98966,2486,1
288922,7515,1
13917,1318,1
605932,38397,1
57169,6927,1
60506,5389,1
34785,308,1
945,7,1
328330,15186,1
321053,4451,1
1456472,33505,1
69844,3417,1
956169,2017,1
4569,35,1
2045386,45406,1
1842393,99086,1
6473,205,1
1044813,15397,1
9548677,190083,1
197062,7250,1
1496225,16116,1
162597,5734,1
9132,21,1
7265,89,1
291597,8209,1
290801,10237,1
5304,52,1
812516,26917,1
2642930,115795,1
105058,493,1
537715,8231,1
2744430,115426,1
3358068,120876,1
4732,203,1
7224515,55681,1
33523622,1634124,1
52591,2233,1
75822,2978,1
43715,1550,1
303956,18603,1
238643,2429,1
237307,1896,1
1282413,37669,1
1497519,15504,1
148226,355,1
484185,23296,1
300617,8133,1
92523,2323,1
7524,67,1
103927,3571,1
177707,6271,1
1751064,16430,1
46746,439,1
746092,34839,1
836830,82320,1
67429,438,1
2237404,72593,1
45455,2282,1
2063667,98804,1
2736733,58967,1
165698,8599,1
836544,40195,1
284666,16396,1
3371669,202676,1
195685,14338,1
212702,29282,0
432721,14053,0
482153,76203,0
925222,85016,0
141695,8091,0
141253,14354,0
187654,9286,0
91051,1674,0
2340941,200598,0
635236,5945,0
294065,0,0
1504950,108635,0
335121,23410,0
53248,5164,0
55313,4153,0
172608,8163,0
373013,23645,0
79611,56,0
255349,20069,0
653398,27773,0
152390,4666,0
321090,36515,0
2418783,97192,0
72519,689,0
166132,13758,0
240158,6765,0
49188,4835,0
160173,6226,0
3641421,218587,0
102804,6306,0
89653,11224,0
567108,36790,0
269993,15354,0
129864,12564,0
265303,1475,0
117799,14369,0
160820,2453,0
15624,1961,0
35870,1343,0
161866,8459,0
294947,16263,0
1388115,17378,0
84521,2286,0
173226,7044,0
207278,8984,0
161552,14663,0
74384,6123,0
508175,25919,0
2990802,23443,0
57030,4315,0
424161,7159,0
457870,18399,0
190246,144,0
209283,7336,0
35231,3317,0
30296,63,0
404120,2179,0
45311,4115,0
17804,117,0
42093,8753,0
748374,57536,0
387221,2159,0
172561,8406,0
12740,110,0
170707,1152,0
855508,50955,0
11132,50,0
376091,29419,0
40916,227,0
142060,19718,0
17158579,787425,0
9637,6,0
50535,1930,0
48029,1897,0
883257,53449,0
26260,182,0
24072,2127,0
7782,667,0
768620,6603,0
117022,466,0
236911,1911,0
923261,30587,0
104253,435,0
50204,3686,0
163164,2686,0
8546,326,0
47828,473,0
85271,6451,0
59454,3447,0
48796,99,0
61769,922,0
41035,3070,0
803400,15547,0
321860,28943,0
23722,88,0
324910,2551,0
29374,318,0
182280,1894,0
94634,2911,0
10569,35,0